xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
5.375;1.13224;1.13224;-1.52097;-1.52097;-1.45985e-08;-2.35937e-07;0.032;2.52147e-07;1.55718e-08;2.51666e-07;4;9
5.407;1.08817;1.08817;-1.23445;-1.23445;-9.93846e-09;-2.23387e-07;0.032;2.38515e-07;1.0601e-08;2.38279e-07;4;9
5.439;1.05317;1.05317;-0.953776;-0.953776;-6.47395e-09;-2.10816e-07;0.032;2.24977e-07;6.90555e-09;2.24871e-07;4;9
5.471;1.02708;1.02708;-0.677914;-0.677913;-4.08475e-09;-1.9965e-07;0.032;2.13005e-07;4.35706e-09;2.1296e-07;4;9
5.503;1.00975;1.00975;-0.405631;-0.40563;-2.56732e-09;-1.90766e-07;0.032;2.03503e-07;2.73848e-09;2.03484e-07;4;9
5.535;1.00109;1.00109;-0.135551;-0.135551;-1.67364e-09;-1.84671e-07;0.032;1.9699e-07;1.78522e-09;1.96982e-07;4;9
5.567;1.00107;1.00107;0.133782;0.133782;-1.13458e-09;-1.81627e-07;0.032;1.93739e-07;1.21022e-09;1.93736e-07;4;9
5.599;1.00966;1.00966;0.403852;0.403852;-6.72937e-10;-1.81737e-07;0.032;1.93854e-07;7.17799e-10;1.93853e-07;4;9
5.631;1.02694;1.02694;0.676115;0.676116;-1.07503e-11;-1.84976e-07;0.032;1.97308e-07;1.1467e-11;1.97308e-07;4;9
5.663;1.05297;1.05297;0.95195;0.95195;1.1243e-09;-1.9118e-07;0.032;2.03929e-07;1.19925e-09;2.03926e-07;4;9
5.695;1.08791;1.08791;1.23259;1.23259;2.98897e-09;-1.99985e-07;0.032;2.13341e-07;3.18824e-09;2.13317e-07;4;9
5.727;1.13192;1.13192;1.51907;1.51907;5.80624e-09;-2.1072e-07;0.032;2.24853e-07;6.19332e-09;2.24768e-07;4;9
5.759;1.1852;1.1852;1.81213;1.81213;9.73396e-09;-2.22257e-07;0.032;2.37301e-07;1.03829e-08;2.37074e-07;4;9
5.791;1.24797;1.24797;2.11213;2.11213;1.48159e-08;-2.32822e-07;0.032;2.48846e-07;1.58036e-08;2.48344e-07;4;9
